       2      71
       3      94
       4     123
       5     163
       6     194
       7     233
       8     281
       9     340
      10     397
      11     493
      12     571
      13     635
      14     692
      15     767
      16     842
      17     925
      18    1020
      19    1148
      20    1271
      21    1387
      22    1504
      23    1656
      24    1826
      25    2017
      26    2245
      27    2470
      28    2706
      29    2960
      30    3302
      31    3654
      32    4015
      33    4419
      34    4863
      35    5353
      36    5970
      37    6672
      38    7438
      39    8256
      40    9076
      41    9987
      42   11106
      43   12306
      44   13630
      45   15097
      46   16642
      47   18402
      48   20392
      49   22560
      50   24864
      51   27492
      52   30370
      53   33548
      54   36969
      55   40755
      56   45063
      57   49891
      58   55221
      59   61137
      60   67668
      61   74764
      62   82964
      63   91738
